day	Stepan_Bandera	GIGN	Petr_Fiala_(politolog)	Demograf	Super_Bowl	Program_NSDAP	Jan_Pohan	Alessandro_Volta	Petter_Northug	Gerhard_Mercator	Terry_Pratchett	Vlasta_Korec	Ambra	Dadja_Altenburg-Kohl	Pony_Express	Terra_nullius	Bruce_Jenner	David_Navara	European_Train_Control_System	Pekka_Rinne	Eurovision_Song_Contest_2015	Hydrazin	Pierre_Brice	MERS	Svoboda_panoramatu	Josef_Masopust	Janis_Varufakis	Theobald_Czernin	Jules_Bianchi	Ladislav_Kantor	Ivan_Moravec	Perseidy	Aeronet.cz	Laibach	Villarreal_CF	Skopolamin	Nomofobie	Ztohoven	TV_JOJ	Sitatunga	Lupus	Ivan_Langer	Martin_Havelka	Miroslav_Toman_(1935)	Strana_spravedlnosti_a_rozvoje	Eagles_of_Death_Metal	Mali	Ortel	Miloslav_Ransdorf
20150102.tsv	170	0	12	0	17	0	0	23	0	0	80	0	11	0	0	0	0	13	11	0	0	16	37	0	11	26	0	0	0	0	0	0	0	12	11	13	0	13	21	0	17	27	0	0	0	0	65	0	0
20150103.tsv	1794	0	16	0	49	0	0	18	0	10	87	0	26	0	0	0	0	21	10	0	0	27	29	0	0	46	0	0	12	0	0	22	0	0	0	16	0	15	19	10	18	26	10	0	0	0	48	0	17
20150104.tsv	596	11	19	0	37	28	0	31	18	10	64	0	28	0	0	0	0	22	31	11	0	27	40	0	0	43	0	0	0	0	0	23	0	13	0	10	0	0	22	0	16	34	13	0	0	0	59	13	21
20150105.tsv	409	0	24	0	41	0	0	66	31	15	86	0	26	0	0	0	0	23	17	0	0	21	39	12	0	23	0	0	13	0	10	12	0	12	0	13	0	0	19	0	26	45	10	0	14	0	86	0	20
20150106.tsv	4238	11	28	0	30	19	0	40	15	0	99	0	16	0	0	21	0	28	18	0	0	45	38	0	0	20	0	0	0	0	0	0	0	18	0	32	0	17	23	0	27	31	0	0	10	0	141	18	18
20150107.tsv	3166	10	23	0	22	10	0	86	17	17	115	0	19	0	11	14	0	11	24	0	0	39	34	0	0	59	0	0	10	0	0	17	0	0	0	11	0	11	37	0	29	27	0	0	18	0	79	15	30
20150108.tsv	1053	56	13	0	31	21	0	67	18	13	99	0	34	0	0	0	0	0	14	0	0	35	25	0	0	21	0	0	0	0	0	13	0	11	10	0	0	0	21	15	38	22	11	0	0	0	61	0	15
20150109.tsv	1723	1877	26	0	24	0	0	54	33	11	95	0	23	0	0	0	0	15	10	0	0	28	25	0	0	36	0	10	11	0	0	19	0	0	0	11	0	13	27	0	26	14	0	0	0	0	77	0	21
20150110.tsv	680	929	20	0	25	13	0	56	11	0	78	0	32	0	0	0	0	18	11	0	0	24	12	0	0	25	0	0	0	0	0	11	0	13	0	0	0	11	26	0	33	20	0	0	0	0	63	13	11
20150111.tsv	1370	211	14	0	29	26	13	42	27	0	59	0	18	0	0	0	0	16	17	0	0	45	21	0	0	36	0	0	11	0	0	13	0	0	0	13	0	16	23	0	49	0	0	0	0	0	79	13	0
20150112.tsv	260	95	18	0	72	73	15	52	61	0	109	0	38	0	0	0	0	0	14	0	0	85	129	0	0	62	0	0	0	0	0	15	0	15	0	19	0	12	34	0	41	22	0	0	0	0	160	17	16
20150113.tsv	333	89	24	0	61	23	0	62	17	0	78	0	17	0	0	0	0	13	28	0	0	40	27	0	0	98	0	12	0	0	0	10	0	16	0	14	0	0	36	0	20	12	0	0	0	0	127	14	14
20150114.tsv	589	55	22	0	35	20	0	72	0	0	96	0	20	0	0	0	0	27	20	0	0	33	17	0	0	69	0	0	0	0	0	19	0	10	0	21	11	21	28	0	32	20	11	0	0	0	78	0	11
20150115.tsv	229	21	2380	0	43	0	0	86	0	18	89	0	38	0	0	0	0	0	18	0	0	63	21	0	0	49	0	0	0	0	0	13	0	15	0	20	0	0	40	0	51	34	0	0	11	0	92	11	14
20150116.tsv	274	20	43	0	31	11	0	88	10	0	64	0	36	0	0	0	11	23	29	0	0	53	17	0	11	41	0	0	0	0	11	11	0	10	0	11	0	22	24	0	17	18	0	0	0	0	99	17	10
20150117.tsv	194	23	11	0	40	19	0	30	0	11	75	0	22	15	10	0	12	10	18	0	0	31	22	0	0	26	0	0	0	0	0	22	0	0	0	21	0	17	38	0	38	28	0	0	0	0	92	13	10
20150118.tsv	147	25	49	0	27	13	0	27	32	14	72	0	16	0	0	0	14	18	15	0	0	55	14	0	0	127	0	10	0	0	0	18	0	13	0	18	0	13	27	0	24	19	11	0	0	0	101	0	11
20150119.tsv	130	15	25	0	61	15	11	47	16	0	89	0	26	0	0	0	0	16	10	0	0	34	14	0	0	79	0	0	0	0	0	17	0	15	10	18	0	20	24	10	31	20	0	0	0	13	77	18	12
20150120.tsv	156	10	20	0	117	15	0	45	0	13	72	0	24	0	0	0	0	17	19	0	0	46	15	0	0	48	0	0	0	0	0	17	0	15	0	20	13	12	34	0	27	25	13	0	11	10	73	0	0
20150121.tsv	138	15	11	0	58	15	0	56	0	0	68	0	39	0	0	0	0	18	20	0	0	37	27	0	0	44	0	0	0	0	0	21	0	14	0	12	0	17	24	0	35	10	15	0	0	0	103	10	11
20150122.tsv	272	11	32	80	46	10	0	50	0	0	75	0	37	0	0	0	0	24	15	0	0	34	15	0	0	24	0	0	0	0	0	13	0	17	15	0	0	21	33	0	22	23	16	0	0	0	78	0	17
20150123.tsv	123	0	38	963	67	18	0	31	0	13	74	0	22	0	0	0	0	0	0	0	0	26	30	0	0	36	0	0	0	0	12	0	0	10	0	20	12	15	18	0	38	20	21	0	0	0	69	0	11
20150124.tsv	117	0	19	969	55	15	0	17	10	13	58	0	31	0	0	0	12	13	0	0	0	20	23	0	0	23	0	10	18	0	0	11	0	10	10	17	0	15	10	0	43	24	0	0	0	0	66	0	11
20150125.tsv	163	0	21	1398	26	21	0	22	0	0	53	0	57	0	0	0	0	14	0	0	0	18	0	0	0	18	0	0	0	0	0	15	0	0	16	14	0	0	0	0	32	21	0	0	0	0	99	0	16
20150126.tsv	142	11	18	1549	33	0	0	42	0	13	74	0	29	50	0	0	14	12	14	0	0	26	10	0	0	23	0	13	10	0	0	10	0	10	10	14	0	10	12	0	31	13	0	0	0	0	65	0	12
20150127.tsv	146	0	22	1513	200	21	0	40	0	0	96	0	27	10	0	0	0	10	21	0	0	26	27	0	0	42	0	10	0	0	0	0	0	0	0	14	0	16	14	0	33	23	0	0	0	0	179	0	12
20150128.tsv	132	10	23	348	88	14	0	58	0	13	72	0	31	0	13	10	0	11	12	0	0	29	25	0	0	41	0	17	0	0	0	0	0	0	13	13	0	16	0	0	32	26	13	0	0	0	147	0	11
20150129.tsv	90	0	18	0	111	27	0	65	0	0	71	0	24	0	0	0	230	13	15	0	0	59	19	0	0	25	0	13	0	0	0	11	0	13	0	15	0	0	11	0	40	14	0	0	0	0	143	0	12
20150130.tsv	202	0	35	0	135	10	0	34	0	0	62	0	19	0	0	0	29	10	0	0	0	37	18	0	0	31	0	19	21	0	0	0	0	17	10	15	11	14	11	0	37	17	11	10	0	0	106	0	11
20150131.tsv	120	0	56	0	142	0	0	24	0	12	58	0	19	0	0	0	0	0	15	0	0	18	31	0	0	36	0	0	12	0	0	0	0	10	18	15	41	22	12	0	40	31	0	0	0	0	101	0	15
20150201.tsv	90	0	13	0	175	15	0	11	0	0	54	0	31	0	0	0	69	0	0	0	0	14	18	0	0	20	0	12	0	0	0	0	0	0	14	15	0	0	20	0	27	11	0	0	0	0	77	0	10
20150202.tsv	121	0	19	0	685	16	0	24	0	0	59	0	18	0	0	0	35	0	18	0	0	28	29	0	0	28	0	0	0	0	0	0	0	11	32	12	20	11	0	0	28	21	11	0	0	0	77	0	0
20150203.tsv	75	0	29	0	1252	116	0	61	0	0	80	0	26	0	0	0	13	0	22	0	0	26	24	0	0	22	0	0	0	0	0	0	0	0	18	14	19	13	0	0	49	23	0	0	0	0	72	0	12
20150204.tsv	1987	0	20	0	400	184	0	33	0	0	77	0	18	0	12	0	13	11	19	0	0	28	19	0	0	37	0	0	10	11	0	0	0	10	15	20	0	0	0	0	30	14	11	0	0	0	76	13	14
20150205.tsv	602	15	24	0	165	105	0	155	12	0	77	0	14	0	0	0	21	10	14	0	0	35	17	11	0	37	0	0	0	0	0	11	0	12	11	14	0	14	14	0	40	22	0	0	0	0	57	19	15
20150206.tsv	176	0	14	0	87	1389	0	36	0	0	80	0	16	0	0	0	19	15	12	0	0	16	23	0	0	24	0	0	0	0	0	0	0	10	0	22	0	14	0	0	30	341	0	0	0	0	88	0	20
20150207.tsv	138	0	32	0	103	63	0	39	19	0	71	0	17	0	0	0	29	40	11	0	0	13	80	0	0	23	0	0	12	0	0	0	0	11	0	17	0	0	0	0	34	92	20	0	0	0	84	0	28
20150208.tsv	200	0	11	0	82	28	0	23	16	0	69	0	18	0	12	0	21	15	0	0	0	11	57	0	0	39	0	0	11	0	0	0	0	13	10	13	0	13	11	0	26	36	11	0	0	0	48	0	27
20150209.tsv	88	0	13	0	86	29	0	41	16	0	83	0	22	0	11	0	148	16	17	0	0	34	20	0	0	40	0	0	16	0	0	14	0	17	16	12	11	11	14	0	27	19	10	0	0	0	76	0	20
20150210.tsv	92	12	24	0	53	25	0	33	0	0	86	0	34	0	0	0	36	20	22	0	0	32	18	0	14	163	0	0	0	0	0	19	0	16	14	21	0	13	10	0	23	27	0	0	0	0	70	12	11
20150211.tsv	96	0	17	0	62	21	0	44	0	0	65	0	20	0	0	0	19	86	15	0	0	32	17	0	0	48	0	0	13	0	0	0	0	15	17	15	0	17	0	0	45	33	0	0	0	0	72	0	11
20150212.tsv	384	0	28	0	38	14	14	33	0	0	80	0	35	12	0	0	12	25	12	13	0	43	46	0	0	29	0	0	0	0	0	0	0	11	10	10	0	15	17	0	68	24	0	0	0	0	56	11	14
20150213.tsv	118	0	25	0	54	12	0	38	0	0	70	0	41	0	0	0	0	10	0	0	0	28	20	0	0	22	0	0	0	0	0	0	0	22	10	11	54	0	10	0	31	14	17	0	0	0	66	0	16
20150214.tsv	88	0	21	0	38	22	939	31	0	0	82	0	24	0	0	0	0	0	0	0	0	17	13	0	0	27	0	0	11	0	0	0	0	18	11	13	0	0	12	0	22	29	11	0	0	0	62	0	20
20150215.tsv	108	0	22	0	31	15	382	14	18	0	54	0	14	0	0	0	0	12	0	0	0	20	15	0	0	45	0	0	0	0	0	10	0	15	0	11	0	0	0	0	15	14	0	0	0	0	50	0	14
20150216.tsv	75	0	17	0	20	20	136	24	13	0	64	0	22	0	0	0	10	12	0	0	0	25	26	0	0	32	0	0	12	0	0	11	0	15	19	10	0	13	0	0	12	17	14	0	0	0	40	0	32
20150217.tsv	133	0	0	0	35	13	123	52	0	0	65	0	18	0	0	0	12	15	20	0	14	28	21	0	0	42	0	0	0	0	0	0	0	15	13	12	15	0	0	0	31	23	0	0	0	0	62	0	144
20150218.tsv	113	0	23	0	31	10	58	64	11	0	70	0	13	0	10	0	10	0	10	0	25	25	20	0	0	62	0	0	0	0	0	12	0	18	0	18	12	19	0	0	38	15	0	0	0	0	80	10	123
20150219.tsv	140	0	22	0	24	24	44	13630	0	0	66	0	24	0	0	0	10	13	18	16	0	19	16	27	0	40	22	12	14	0	0	0	0	18	0	0	12	0	10	0	27	15	11	27	0	0	49	0	79
20150220.tsv	118	0	10	0	21	12	26	212	340	0	79	0	27	0	0	0	13	11	0	0	0	21	11	0	0	42	23	0	0	0	11	0	0	16	19	21	15	15	12	0	34	21	0	0	0	0	56	0	40
20150221.tsv	102	0	13	0	22	15	42	63	151	0	73	0	25	0	0	0	0	10	0	0	11	20	10	31	0	24	21	0	0	0	0	10	0	22	0	14	10	12	0	0	24	29	10	0	0	0	56	0	148
20150222.tsv	78	0	0	0	11	0	41	22	86	16	67	0	17	0	0	0	10	0	0	0	0	18	21	0	0	33	19	0	0	15	0	0	0	14	10	25	0	11	0	0	19	16	12	0	0	0	35	0	61
20150223.tsv	108	0	12	0	38	12	30	37	115	21	65	0	26	0	0	0	10	0	11	0	19	27	10	0	0	23	23	0	16	0	0	0	0	11	12	19	0	22	0	0	19	15	0	0	0	0	56	10	91
20150224.tsv	128	0	12	0	37	16	41	41	50	0	100	0	19	0	0	0	0	16	17	0	16	34	25	0	0	35	15	13	15	0	0	15	0	14	10	19	14	31	0	0	38	13	14	0	0	0	207	11	68
20150225.tsv	93	15	12	0	27	18	35	59	42	0	79	0	19	0	0	0	0	23	17	0	15	33	24	0	0	28	19	12	11	0	0	15	0	13	11	0	13	23	0	0	34	32	11	0	0	0	121	11	44
20150226.tsv	69	0	11	0	25	14	28	46	54	0	86	0	21	10	0	0	0	0	11	0	12	27	29	0	0	27	38	11	13	0	0	0	0	17	13	25	10	19	14	0	25	25	0	0	0	0	121	10	40
20150227.tsv	83	0	23	0	23	0	35	29	28	0	71	11	23	0	0	0	0	15	11	0	12	30	21	0	0	34	13	0	10	0	0	15	0	0	0	25	13	0	0	29	23	23	18	0	0	0	104	0	26
20150228.tsv	93	0	19	0	17	13	78	23	97	0	60	0	30	66	0	0	0	19	11	0	18	21	19	0	0	28	24	0	16	0	0	12	0	17	18	0	0	0	0	0	68	19	23	0	0	0	75	0	23
20150301.tsv	43	0	12	0	24	17	155	18	54	0	60	0	23	34	0	0	0	17	0	0	14	13	16	0	0	31	28	0	10	0	0	0	0	23	26	0	0	0	0	0	53	10	13	0	0	0	68	0	17
20150302.tsv	57	0	60	0	27	16	212	52	1364	0	74	0	24	14	0	0	10	14	12	0	17	17	15	0	0	25	19	0	0	0	0	0	0	0	44	0	10	12	19	10	36	24	0	0	0	0	99	0	19
20150303.tsv	49	0	22	0	29	20	129	71	651	11	85	0	27	22	10	0	0	14	18	0	0	22	13	0	0	29	17	0	11	0	0	0	0	25	16	13	11	12	0	0	28	30	16	0	0	0	93	0	18
20150304.tsv	46	0	21	0	17	21	48	147	91	10	87	0	22	26	0	0	0	19	0	0	0	24	19	0	0	68	17	0	10	0	0	11	0	19	10	12	10	13	12	0	28	29	10	0	0	0	87	12	15
20150305.tsv	59	0	13	0	20	0	32	48	46	10	103	0	27	15	0	0	0	16	10	0	0	36	13	0	0	41	0	0	0	0	0	0	0	17	19	16	0	0	10	0	25	27	24	0	0	0	91	0	13
20150306.tsv	99	0	29	0	21	16	29	78	40	45601	96	0	11	0	0	0	0	25	12	0	16	24	19	0	0	38	0	0	16	0	0	0	0	19	14	0	10	10	0	0	26	25	0	0	0	0	80	0	14
20150307.tsv	75	0	19	0	17	12	80	81	55	252	107	0	26	0	0	0	0	29	12	0	13	22	18	0	0	26	14	11	12	0	0	0	0	0	0	10	0	0	0	0	24	26	15	0	0	0	159	0	0
20150308.tsv	55	0	16	0	25	11	38	17	20	39	78	0	26	10	0	0	0	14	11	0	19	27	16	0	0	25	12	10	0	0	0	0	20	10	17	0	0	0	0	0	18	20	0	0	0	0	120	10	0
20150309.tsv	47	0	17	0	22	12	103	22	21	42	88	0	19	0	0	0	0	43	12	0	16	19	21	0	0	31	17	0	0	0	0	0	23	15	19	10	0	0	0	0	13	21	0	0	0	0	120	0	0
20150310.tsv	52	0	17	0	38	17	62	35	18	60	116	10	20	0	0	0	0	29	0	0	20	36	21	0	0	31	14	0	0	0	0	0	15	19	15	10	0	16	0	0	29	37	21	0	0	0	105	0	15
20150311.tsv	53	0	0	0	23	24	33	79	18	39	209	0	11	0	0	0	0	26	21	0	22	26	15	0	0	35	78	0	15	0	0	18	0	11	0	19	0	0	0	0	17	25	0	13	0	0	81	0	28
20150312.tsv	60	0	22	0	13	23	31	92	19	31	146	10	19	0	0	0	24	27	0	0	26	29	18	13	0	24	15	0	22	0	0	0	15	23	0	10	0	0	13	0	31	20	0	0	0	0	55	0	25
20150313.tsv	65	0	47	0	14	11	10	72	17	24	6175	0	19	0	0	0	0	13	13	0	16	28	19	0	0	30	12	0	11	0	0	0	0	17	20	0	0	10	0	0	30	20	0	0	0	0	61	0	15
20150314.tsv	63	0	14	0	21	0	26	87	11	19	3224	0	21	0	0	0	0	25	13	0	11	27	0	0	0	35	0	0	13	0	0	0	11	38	0	0	0	10	0	0	20	30	0	0	0	0	90	0	14
20150315.tsv	58	0	15	0	24	0	21	25	30	12	1650	0	21	0	0	0	11	23	11	0	22	12	18	0	0	30	14	0	14	0	0	0	12	37	10	0	0	10	0	0	14	14	19	0	0	0	108	10	11
20150316.tsv	56	12	21	0	12	14	127	64	17	23	1373	0	25	0	0	0	0	27	0	0	31	35	23	0	0	30	0	0	15	0	10	10	0	44	21	0	13	11	0	0	22	25	10	0	0	0	98	0	16
20150317.tsv	45	0	14	0	16	10	63	44	24	14	836	0	18	0	0	0	0	24	11	0	39	35	17	0	0	542	23	0	0	0	0	13	0	27	0	13	0	11	0	0	27	20	0	0	11	0	123	0	14
20150318.tsv	43	0	0	0	22	24	27	37	10	17	512	10	16	0	0	0	0	16	0	0	21	19	13	0	18	390	0	0	11	0	0	0	12	28	0	16	0	14	0	0	36	20	0	0	0	0	89	10	15
20150319.tsv	44	0	11	0	28	11	16	55	0	15	381	0	25	0	0	0	15	11	10	0	0	32	0	0	0	35	11	0	0	0	0	16	39	33	0	11	182	0	0	0	43	36	13	0	0	0	78	13	21
20150320.tsv	34	0	11	0	23	14	11	40	0	11	337	2390	27	0	0	0	0	0	10	0	19	15	12	10	0	45	0	10	0	0	0	0	17	27	16	14	11	0	0	0	34	23	0	0	0	0	97	11	31
20150321.tsv	46	0	0	0	11	0	17	50	0	20	310	566	13	11	0	0	19	20	0	0	15	26	17	0	0	41	0	0	11	0	0	18	19	15	0	0	0	0	0	0	65	14	0	0	0	0	78	0	13
20150322.tsv	35	0	10	0	26	18	16	15	13	0	244	0	17	0	0	0	0	14	11	0	13	19	17	0	0	29	21	0	13	0	0	13	13	23	10	0	0	0	0	0	22	16	0	0	0	0	60	0	0
20150323.tsv	51	0	0	0	16	19	40	41	12	11	265	18	19	0	0	0	0	14	0	0	28	30	15	0	0	37	0	0	10	0	0	0	14	18	15	14	0	0	0	0	43	16	0	11	0	0	49	0	15
20150324.tsv	63	0	0	0	14	18	32	37	0	10	279	16	12	0	0	0	0	16	12	0	22	27	22	0	0	32	10	0	0	0	0	11	14	42	0	16	18	12	0	0	51	57	0	0	0	0	80	13	10
20150325.tsv	48	0	10	0	11	24	20	36	0	0	200	0	31	0	0	0	0	14	17	0	0	23	105	0	11	89	0	0	0	0	0	0	32	50	13	0	11	50	13	0	28	20	0	13	0	0	66	0	17
20150326.tsv	50	0	10	0	30	0	14	43	0	10	251	11	24	0	0	0	69	10	19	0	12	32	142	0	0	50	0	0	10	0	0	0	15	78	0	0	10	23	12	0	41	22	0	0	12	0	62	0	14
20150327.tsv	43	0	11	0	28	12	11	62	13	15	226	11	19	0	0	0	18	19	0	0	10	27	46	0	0	40	0	0	0	0	0	0	13	30	0	22	0	21	0	0	43	24	0	0	0	0	59	0	14
20150328.tsv	37	0	10	0	10	0	0	17	0	0	197	0	19	0	0	0	0	20	0	0	12	17	39	0	0	43	0	0	0	0	0	0	23	21	11	10	0	16	11	0	29	10	0	0	0	0	56	0	40
20150329.tsv	31	0	0	0	25	18	10	35	0	0	131	0	12	45	0	0	0	15	10	0	14	16	43	0	0	24	0	0	11	0	10	0	0	22	0	0	0	11	11	0	15	22	10	0	0	0	56	0	55
20150330.tsv	37	0	11	0	22	16	17	92	0	13	182	0	22	25	0	0	0	12	19	0	12	25	42	0	0	54	0	0	20	0	0	0	16	25	0	12	16	11	12	0	17	0	0	0	0	0	59	14	31
20150331.tsv	34	0	14	0	24	17	24	80	0	0	205	0	3606	12	0	0	0	14	44	0	0	23	41	0	0	37	10	0	0	0	0	0	29	11	0	18	27	12	12	0	41	0	0	0	0	21	75	0	24
20150401.tsv	37	10	13	0	16	22	0	78	0	16	213	10	1634	21	0	0	0	28	11	0	11	25	20	0	0	22	17	0	0	0	0	0	23	15	0	18	15	10	0	0	27	18	10	0	0	0	92	12	37
20150402.tsv	47	0	0	0	22	0	12	48	0	0	126	0	134	2518	0	0	0	14	16	0	11	24	28	0	0	27	0	15	0	0	0	0	29	20	0	0	23	0	0	0	31	23	0	0	0	11	46	0	17
20150403.tsv	73	0	10	0	17	19	15	22	0	0	108	17	78	1580	0	0	0	16	19	0	0	17	21	0	0	25	0	0	0	0	0	0	35	22	0	25	11	0	0	0	26	23	0	0	0	12	65	10	26
20150404.tsv	52	0	11	0	15	14	11	16	11	11	123	2154	49	441	0	0	0	36	11	0	22	11	23	16	0	20	0	0	0	0	0	0	20	12	0	12	0	12	10	0	23	11	10	0	0	0	76	0	13
20150405.tsv	41	0	10	0	12	0	11	22	13	0	100	1502	32	209	0	0	0	12	0	0	24	10	22	0	0	38	0	0	0	10	0	0	10	0	0	11	0	0	0	0	26	14	0	0	0	0	53	12	12
20150406.tsv	43	0	10	0	17	22	41	19	0	0	104	1376	32	133	0	0	10	0	0	0	26	13	15	0	0	24	0	0	0	0	0	0	13	10	15	0	0	0	10	0	17	19	11	0	0	0	57	0	13
20150407.tsv	68	0	10	0	13	10	24	28	10	0	127	3320	29	129	0	0	30	10	0	0	12	21	33	0	0	29	17	16	10	0	12	0	12	0	0	18	0	10	10	0	25	22	12	0	0	0	108	10	12
20150408.tsv	38	0	16	0	13	19	14	40	0	0	157	1608	33	114	0	0	0	19	15	0	0	22	18	0	0	68	11	0	0	0	0	0	31	10	0	11	11	0	12	0	27	29	14	0	0	0	63	0	19
20150409.tsv	40	0	0	0	16	0	13	109	0	14	142	38	45	150	0	0	13	0	13	0	17	27	18	0	0	37	16	0	0	0	0	0	0	14	0	16	0	11	11	10	31	27	16	0	10	0	66	0	16
20150410.tsv	101	0	0	0	21	0	11	72	0	0	136	14	41	92	10	0	0	10	17	0	23	22	14	0	0	26	11	14	0	0	0	0	19	0	11	11	0	18	0	0	30	27	0	0	0	0	69	0	11
20150411.tsv	308	0	0	0	17	0	0	20	0	12	99	13	29	39	0	0	12	0	17	0	0	21	35	0	0	27	0	0	0	0	0	10	10	27	0	14	0	10	13	0	36	17	0	0	0	0	68	0	11
20150412.tsv	36	0	0	0	13	0	0	16	0	0	82	0	25	43	0	0	0	0	14	0	22	13	19	0	0	46	0	0	0	0	0	10	12	0	0	10	0	0	0	0	26	12	13	0	0	0	46	0	10
20150413.tsv	70	0	19	0	22	19	22	50	14	11	115	10	21	50	0	0	12	0	0	0	21	14	35	0	0	34	0	0	13	0	0	0	0	18	0	16	0	11	0	0	30	16	0	0	10	0	86	10	0
20150414.tsv	64	0	0	0	26	15	19	66	0	0	133	0	47	41	416	42	0	25	0	0	17	23	21	0	0	27	0	0	0	0	0	14	51	0	0	0	0	0	42	0	40	30	0	0	0	0	63	0	12
20150415.tsv	67	0	13	0	23	11	16	81	0	0	98	0	31	39	11087	719	0	18	16	0	14	13	28	0	0	22	0	0	0	0	0	0	55	0	0	0	0	0	0	0	43	24	11	0	11	0	80	0	17
20150416.tsv	86	0	13	0	10	0	0	30	0	0	101	0	34	28	277	1149	63	10	19	0	17	19	16	0	0	31	0	0	10	0	0	0	39	11	0	0	16	0	0	0	36	19	0	0	11	0	75	0	11
20150417.tsv	86	0	11	0	21	15	13	64	0	0	100	0	27	27	59	540	21	17	16	0	32	29	26	0	0	23	0	0	0	0	0	0	51	10	0	0	11	0	0	0	46	57	0	0	0	10	142	0	11
20150418.tsv	125	0	10	0	21	0	0	35	0	0	66	0	27	23	41	316	0	0	13	0	30	20	23	0	0	40	10	0	0	0	0	14	45	19	0	10	0	12	15	0	37	34	14	0	0	0	69	0	0
20150419.tsv	89	10	0	0	17	0	12	35	0	11	97	0	19	34	25	318	0	17	10	0	23	18	29	0	0	16	0	0	0	0	0	0	31	13	0	12	0	11	10	0	18	22	42	0	0	0	59	16	10
20150420.tsv	69	0	30	0	20	11	80	33	0	0	102	10	25	37	21	405	0	0	0	0	66	27	46	0	0	22	0	10	10	0	0	14	23	10	15	10	0	15	0	0	33	28	0	0	0	0	55	0	14
20150421.tsv	71	0	22	0	18	15	39	46	0	0	96	0	84	24	16	699	11	13	19	0	24	30	44	0	0	35	16	0	0	0	0	12	41	19	0	13	11	0	13	14	46	29	10	0	0	0	59	0	21
20150422.tsv	62	0	15	0	10	15	77	58	0	12	93	0	46	46	43	614	10	0	17	0	25	21	27	0	0	22	10	0	0	0	0	14	25	0	0	18	21	12	0	0	37	40	0	0	0	0	57	0	15
20150423.tsv	46	0	0	0	19	0	18	42	0	0	106	0	26	30	18	414	15	18	16	0	22	31	31	0	0	40	0	0	14	0	0	13	28	18	0	10	0	10	0	0	41	38	13	0	0	0	101	0	10
